"Language","Variable","Importance","MDA_scaled"
"Finnic","T_mean",1.88925831521318,0.573443604383779
"Finnic","T_seasonal",2.90155942365631,1
"Finnic","P_annual",2.56034546554322,0.856221637126814
"Finnic","P_seasonal",2.35947099567614,0.771578551069544
"Finnic","snow_mean",1.87218348348116,0.566248730626734
"Finnic","permafrost",0.528365354017025,0
"Finnic","dem_mean",2.02230449755476,0.62950567871797
"Finnic","roughness",2.02041876576316,0.628711082180026
"Finnic","river_length",1.30826450728977,0.32862847722828
"Finnic","lake_dist",1.5377244545677,0.425316712806424
"Finnic","sea_dist",2.35562603264858,0.769958387309343
"Finnic","woodland",1.12073334361836,0.249607900668392
"Finnic","swamp",1.26795191973969,0.311641839655818
"Finnic","soil_quality",1.930876181227,0.590980251110756
"Finnic","biodiversity",1.97756976127786,0.61065566689247
"Hungarian","T_mean",0.160885383590242,0.658267942546196
"Hungarian","T_seasonal",0.173762233785169,0.710961273344777
"Hungarian","P_annual",0.183135785110745,0.749318762426281
"Hungarian","P_seasonal",0.080924609569858,0.331060632327845
"Hungarian","snow_mean",0.2443956199702,1
"Hungarian","permafrost",2.21859933577662e-05,0
"Hungarian","dem_mean",0.0956593611743441,0.391356677461305
"Hungarian","roughness",0.116498053297168,0.476630644372123
"Hungarian","river_length",0.0673074692566747,0.275337961939403
"Hungarian","lake_dist",0.135809671526449,0.555655675509961
"Hungarian","sea_dist",0.140561146033364,0.575099174050663
"Hungarian","woodland",0.105103574481184,0.430003322283323
"Hungarian","swamp",0.00482378277121843,0.0196486037771016
"Hungarian","soil_quality",0.127584765526553,0.521998555478349
"Hungarian","biodiversity",0.207963942895097,0.850918013131677
"Khanty","T_mean",1.33390173328204,1
"Khanty","T_seasonal",1.27065645523355,0.936123865564921
"Khanty","P_annual",1.06892588782969,0.73238108443154
"Khanty","P_seasonal",0.53409677628555,0.192217181561291
"Khanty","snow_mean",1.12041992032965,0.784388757479476
"Khanty","permafrost",0.731905289898858,0.391998787364006
"Khanty","dem_mean",0.963828279713446,0.626235153035822
"Khanty","roughness",0.774551203346355,0.435070083507103
"Khanty","river_length",0.417452636962172,0.0744095450959798
"Khanty","lake_dist",0.497138146767045,0.154889898631959
"Khanty","sea_dist",0.759455176886101,0.419823477825784
"Khanty","woodland",0.343777978802636,0
"Khanty","swamp",0.568512951763686,0.22697665008473
"Khanty","soil_quality",0.751058132145021,0.411342674589733
"Khanty","biodiversity",1.07219322151486,0.735681008981769
"Mansi","T_mean",0.124708100599941,0.580033776426409
"Mansi","T_seasonal",0.114229066156473,0.528654072108936
"Mansi","P_annual",0.150848625620259,0.70820326126713
"Mansi","P_seasonal",0.110564906689939,0.510688349123843
