"Variable","Importance"
"T_mean",1.88925831521318
"T_seasonal",2.9015594236563
"P_annual",2.56034546554321
"P_seasonal",2.35947099567614
"snow_mean",1.87218348348116
"permafrost",0.528365354017025
"dem_mean",2.02230449755476
"roughness",2.02041876576316
"river_length",1.30826450728977
"lake_dist",1.5377244545677
"sea_dist",2.35562603264859
"woodland",1.12073334361836
"swamp",1.26795191973969
"soil_quality",1.93087618122701
"biodiversity",1.97756976127786
